8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
2r1k2r/p2nnppp/qp2p3/3pP3/P2P4/1QP2N2/3B1PPP/1R2K2R b Kk - 0 14|a2a4|a4|e7f5
rnbqkbnr/pp1ppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|Nf3|d7d5
Q5nr/3nkp2/3p1q1p/3Pp3/1r2P1b1/1N3pP1/PPP2P1P/2KR1B1R b - - 4 16|e1c1|O-O-O|b4e4
r1b1k3/pp3p2/4n1p1/4P3/5P2/6P1/PPP4P/2KR1B1R b - - 0 25|g2g3|g3|b7b6
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|Nf3|b8c6
r2q1rk1/pp1nbppp/4pn2/3p1bB1/2Pp4/2N1PN1P/PP2BPP1/2RQ1RK1 w - - 0 11|c5d4|cxd4|f3d4
r1bqkbnr/pppppppp/2n5/8/8/2P2N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2|c2c3|c3|e7e5
r2qk2r/2p2pb1/pp2p2p/3pP1p1/3P1nPn/1NP3QP/PP3P2/1K1R1B1R b kq - 1 17|c1b1|Kb1|d8d7
2kr3r/1pqbbp1p/p1n1p1p1/2PpP3/5P2/N1P2QP1/PP2B1P1/R1B2RK1 w - - 1 16|h4e7|Be7|c1e3
rnb3k1/pp3pp1/4pn1p/q7/2B2B2/2P2N2/P1Q2PPP/3R2K1 w - - 2 17|d8a5|Qa5|f4e5
2kB1b1r/ppp3pp/3p4/5p2/1q2b3/4QNPB/nP2P2P/R2K3R b - - 4 18|d2d1|Kd1|b4a4
r4rk1/p1p2ppp/1p6/3pPq2/B7/4P3/PP3P1P/R1B2R1K w - - 0 18|g5f5|Qxf5|a4b3
1r2r1k1/Q4p1p/6p1/4P3/5P2/6PP/3R3K/3R4 b - - 3 36|f1d1|Rfd1|b8a8
r2q1rk1/5pbp/np2pnp1/p2pN3/2pP1B2/2P1P3/PP1N1PPP/R2Q1RK1 w - - 0 13|c5c4|c4|d2f3
4r1k1/pp3pp1/2p2n1p/3p2q1/8/1BPQ1RP1/PP2rPK1/7R w - - 0 26|h7h6|h6|f3f5
